FlyAsh,GGBFS,NaOH_M,Na2SiO3,CopperSlag,RecycledAgg,Curing_Days,Comp_Strength,provenance,material_system
400,0,8,120,0,300,7,49.5,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,14,35.3,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,14,34.5,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,14,37.7,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,14,49.7,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,14,34.4,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,14,39.5,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,14,50.4,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,28,35.8,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,28,41.7,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,28,50.9,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,28,35.3,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,28,42.8,Data.xlsx,fly_ash_slag_concrete
400,0,8,120,0,300,28,51.8,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,3,36.0,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,3,35.2,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,3,37.4,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,3,48.9,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,3,35.6,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,3,40.7,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,3,49.6,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,7,36.1,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,7,34.9,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,7,37.4,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,7,48.7,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,7,35.2,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,7,40.2,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,7,49.8,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,14,36.0,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,14,34.6,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,14,38.3,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,14,49.6,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,14,34.7,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,14,40.3,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,14,50.3,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,28,36.6,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,28,35.9,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,28,42.7,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,28,51.1,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,28,43.8,Data.xlsx,fly_ash_slag_concrete
400,0,10,120,0,300,28,52.0,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,3,36.8,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,3,35.4,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,3,38.2,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,3,49.7,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,3,35.9,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,3,41.7,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,3,49.9,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,7,36.7,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,7,35.2,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,7,38.2,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,7,49.4,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,7,35.6,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,7,40.9,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,7,50.1,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,14,36.5,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,14,34.8,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,14,39.1,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,14,49.7,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,14,35.0,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,14,41.2,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,14,50.6,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,28,37.6,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,28,36.2,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,28,43.6,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,28,51.4,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,28,36.6,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,28,44.5,Data.xlsx,fly_ash_slag_concrete
400,0,12,120,0,300,28,52.1,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,3,37.3,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,3,35.8,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,3,39.2,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,3,50.1,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,3,36.2,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,3,42.6,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,7,37.3,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,7,35.5,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,7,39.0,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,7,50.0,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,7,36.0,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,7,41.9,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,7,50.4,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,14,37.5,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,14,35.0,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,14,40.1,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,14,49.8,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,14,35.4,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,14,42.1,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,14,50.9,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,28,38.6,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,28,36.5,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,28,44.5,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,28,51.7,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,28,37.2,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,28,45.3,Data.xlsx,fly_ash_slag_concrete
400,0,14,120,0,300,28,52.0,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,300,3,38.6,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,300,3,38.3,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,300,3,40.5,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,300,3,52.9,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,300,3,38.8,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,300,3,44.0,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,300,3,54.2,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,300,7,38.9,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,300,7,38.0,Data.xlsx,fly_ash_slag_concrete
300,100,8,120,0,300,7,40.5,Data.xlsx,fly_ash_slag_concrete
