sample_id,sorbent_name,sorbent_class,framework_code,adsorbate,adsorbate_class,capacity_mg_g,capacity_type,capacity_std,initial_conc_mg_L,dose_g_L,temperature_K,ph,contact_time_h,competing_ion,competing_ion_mg_L,si_al,na_al,k_al,ca_al,precursor,activator_molarity,bet_m2_g,pore_volume_cm3_g,cec_meq_100g,al_content_mol_kg,al_iv_pct,al_iv_mmol_g,kd_mL_g,kd_competing_ion,selectivity_factor,langmuir_b_L_mg,freundlich_kf,freundlich_n,dr_e_kj_mol,r2,provenance_doi,source_label,replicated,from_figure,value_repeated
Si5 Al1 Na1 Ca6_methylene_blue,Si5 Al1 Na1 Ca6,,,methylene_blue,dye,14.176680740500156,single_point_q,1.4433573266183175,100.0,1.0,,7.0,,,,5.0,1.0,,6.0,synthetic_colloidal_silica_Al_nitrate,,3.5173,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca5_methylene_blue,Si4 Al1 Na1 Ca5,,,methylene_blue,dye,20.34751542708672,single_point_q,0.3247807729782366,100.0,1.0,,7.0,,,,4.0,1.0,,5.0,synthetic_colloidal_silica_Al_nitrate,,6.9212,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si3 Al1 Na1 Ca4_methylene_blue,Si3 Al1 Na1 Ca4,,,methylene_blue,dye,26.84313088665151,single_point_q,1.4433573266183122,100.0,1.0,,7.0,,,,3.0,1.0,,4.0,synthetic_colloidal_silica_Al_nitrate,,10.2911,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si2 Al1 Na1 Ca3_methylene_blue,Si2 Al1 Na1 Ca3,,,methylene_blue,dye,31.390061708346867,single_point_q,0.2812684000598974,100.0,1.0,,7.0,,,,2.0,1.0,,3.0,synthetic_colloidal_silica_Al_nitrate,,13.1828,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si1 Al1 Na1 Ca2_methylene_blue,Si1 Al1 Na1 Ca2,,,methylene_blue,dye,34.85438995344809,single_point_q,1.5348540520469651,100.0,1.0,,7.0,,,,1.0,1.0,,2.0,synthetic_colloidal_silica_Al_nitrate,,14.1045,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca1_methylene_blue,Si4 Al1 Na1 Ca1,,,methylene_blue,dye,11.199523654866292,single_point_q,0.9515208309649652,100.0,1.0,,7.0,,,,4.0,1.0,,1.0,synthetic_colloidal_silica_Al_nitrate,,2.7858,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca2_methylene_blue,Si4 Al1 Na1 Ca2,,,methylene_blue,dye,9.304969145826568,single_point_q,1.2889337338736095,100.0,1.0,,7.0,,,,4.0,1.0,,2.0,synthetic_colloidal_silica_Al_nitrate,,1.0347,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca3_methylene_blue,Si4 Al1 Na1 Ca3,,,methylene_blue,dye,11.524304427844532,single_point_q,1.5000981336528052,100.0,1.0,,7.0,,,,4.0,1.0,,3.0,synthetic_colloidal_silica_Al_nitrate,,2.7037,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca4_methylene_blue,Si4 Al1 Na1 Ca4,,,methylene_blue,dye,27.167911659629752,single_point_q,1.226020531872484,100.0,1.0,,7.0,,,,4.0,1.0,,4.0,synthetic_colloidal_silica_Al_nitrate,,7.9533,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
Si4 Al1 Na1 Ca5_methylene_blue,Si4 Al1 Na1 Ca5,,,methylene_blue,dye,20.34751542708672,single_point_q,0.3247807729782366,100.0,1.0,,7.0,,,,4.0,1.0,,5.0,synthetic_colloidal_silica_Al_nitrate,,6.9212,,,,,,,,,,,,,,doi:10.1016/j.matdes.2026.115471,oulu2026,True,False,False
